dt,datetime,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon
1694775600,2023-09-15 14:00:00,27.129999999999995,27.670000000000016,1013,52,26.05000000000001,27.230000000000018,4.63,110,0,800,Clear,clear sky,01d
1694779200,2023-09-15 15:00:00,28.120000000000005,28.400000000000034,1012,48,27.79000000000002,28.25,3.6,90,0,800,Clear,clear sky,01d
1694782800,2023-09-15 16:00:00,28.160000000000025,28.450000000000045,1012,48,27.700000000000045,29.010000000000048,3.6,80,0,800,Clear,clear sky,01d
1694786400,2023-09-15 17:00:00,28.77000000000004,29.25,1011,49,27.700000000000045,29.99000000000001,5.66,80,0,800,Clear,clear sky,01d
1694790000,2023-09-15 18:00:00,27.52000000000004,28.010000000000048,1012,51,26.03000000000003,28.810000000000002,6.69,70,0,711,Smoke,smoke,50d
1694793600,2023-09-15 19:00:00,26.03000000000003,26.03000000000003,1012,55,25.480000000000018,26.660000000000025,8.23,60,20,801,Clouds,few clouds,02d
1694797200,2023-09-15 20:00:00,25.27000000000004,25.390000000000043,1013,59,23.939999999999998,26.590000000000032,8.75,60,40,200,Thunderstorm,thunderstorm with light rain,11n
1694800800,2023-09-15 21:00:00,23.33000000000004,23.57000000000005,1015,71,22.140000000000043,24.430000000000007,8.23,60,20,520,Rain,light intensity shower rain,09n
1694804400,2023-09-15 22:00:00,21.620000000000005,21.80000000000001,1014,75,21.03000000000003,22.77000000000004,6.69,60,20,801,Clouds,few clouds,02n
1694808000,2023-09-15 23:00:00,21.660000000000025,21.79000000000002,1014,73,21.010000000000048,22.27000000000004,4.63,60,0,800,Clear,clear sky,01n
1694811600,2023-09-16 00:00:00,21.49000000000001,21.629999999999995,1014,74,21.010000000000048,22.27000000000004,5.66,70,0,800,Clear,clear sky,01n
1694815200,2023-09-16 01:00:00,21.29000000000002,21.410000000000025,1013,74,21.010000000000048,21.670000000000016,4.63,50,20,801,Clouds,few clouds,02n
1694818800,2023-09-16 02:00:00,20.850000000000023,21.03000000000003,1014,78,20.010000000000048,21.660000000000025,6.71,50,0,800,Clear,clear sky,01n
1694822400,2023-09-16 03:00:00,20.189999999999998,20.30000000000001,1013,78,19.920000000000016,20.560000000000002,4.63,40,20,801,Clouds,few clouds,02n
1694826000,2023-09-16 04:00:00,20.189999999999998,20.30000000000001,1013,78,19.920000000000016,20.560000000000002,4.12,40,40,802,Clouds,scattered clouds,03n
1694829600,2023-09-16 05:00:00,19.930000000000007,20.02000000000004,1015,78,18.939999999999998,20.55000000000001,5.14,50,40,802,Clouds,scattered clouds,03n
1694833200,2023-09-16 06:00:00,19.629999999999995,19.689999999999998,1015,78,18.900000000000034,20.0,5.14,60,0,800,Clear,clear sky,01n
1694836800,2023-09-16 07:00:00,19.30000000000001,19.30000000000001,1014,77,18.900000000000034,19.439999999999998,4.63,50,0,800,Clear,clear sky,01d
1694840400,2023-09-16 08:00:00,19.629999999999995,19.660000000000025,1016,77,18.900000000000034,20.0,4.63,50,0,800,Clear,clear sky,01d
1694844000,2023-09-16 09:00:00,20.140000000000043,20.189999999999998,1018,76,19.920000000000016,20.55000000000001,6.69,70,0,800,Clear,clear sky,01d
1694847600,2023-09-16 10:00:00,21.58000000000004,21.670000000000016,1018,72,21.010000000000048,22.77000000000004,8.75,70,0,800,Clear,clear sky,01d
1694851200,2023-09-16 11:00:00,23.200000000000045,23.33000000000004,1018,67,21.590000000000032,24.920000000000016,8.23,70,75,803,Clouds,broken clouds,04d
1694854800,2023-09-16 12:00:00,24.28000000000003,24.430000000000007,1020,64,22.010000000000048,25.0,7.72,70,100,804,Clouds,overcast clouds,04d
